_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,geometry
3075,6569,LR-06904,1,Fortune Gt,Lawrence Ave E,North,Fortune Gt,East,06960,24,None,WR2,Existing,L3806960,,"{""coordinates"": [[-79.2195473693061, 43.7612026483201]], ""type"": ""MultiPoint""}"
3076,6570,LR-13418,86,East Ave,East Ave,West,Maberley Cres,North,09805,25,None,WR1,Existing,L4409805,,"{""coordinates"": [[-79.1324873312659, 43.782571868422]], ""type"": ""MultiPoint""}"
3077,6571,LR-13420,74,East Willow Gt,East Ave,West,East Willow Gt,North,09807,25,None,WR1,Existing,L4409807,,"{""coordinates"": [[-79.1345892963623, 43.7875704244476]], ""type"": ""MultiPoint""}"
3078,6573,LR-13427,325,Milner Ave,Progress Ave,East,Milner Ave,South,09828,23,None,WR2,Existing,L4209828,,"{""coordinates"": [[-79.2338970598596, 43.7898654054305]], ""type"": ""MultiPoint""}"
3079,6575,LR-13434,101,Island Rd,East Ave,East,Island Rd,South,09836,25,None,WR2,Existing,L4409836,,"{""coordinates"": [[-79.1386344665777, 43.7977498266269]], ""type"": ""MultiPoint""}"
3080,6576,LR-13436,61,Tudor Glen Cres,East Ave,West,Tudor Glen Cres,North,09838,25,None,WR1,Existing,L4409838,,"{""coordinates"": [[-79.1356742329014, 43.7900888409995]], ""type"": ""MultiPoint""}"
3081,6577,LR-07686,4588,Bathurst St,Bathurst St,West,Carscadden Dr,South,420,06,None,WR2,Existing,L1000420,,"{""coordinates"": [[-79.4404365854854, 43.762709586668]], ""type"": ""MultiPoint""}"
3082,6580,LR-05834,6553,Dundas St W,Dundas St W,South,Billingham Rd,West,00657,03,None,WR2,Existing,L0500657,,"{""coordinates"": [[-79.5492697887949, 43.630326456871]], ""type"": ""MultiPoint""}"
3083,6582,LR-14173,10,Old Park Rd,Old Park Rd,West,Wembley Rd,North,11011,08,None,WR4,Existing,L2111011,,"{""coordinates"": [[-79.4314811247487, 43.7007753429162]], ""type"": ""MultiPoint""}"
3084,6583,LR-14184,2201,Eglinton Ave E,Birchmount Rd,West,Bonniewood Rd,South,10990,20,None,WR1,Existing,L3510990,,"{""coordinates"": [[-79.2771192405899, 43.7275131487118]], ""type"": ""MultiPoint""}"
