_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,geometry
4455,8789,LR-14663,6793,Steeles Ave W,Steeles Ave W,South,Martin Grove Rd,West,11460,01,None,WR1,Existing,L0111460,,"{""coordinates"": [[-79.6086217063003, 43.7565178141603]], ""type"": ""MultiPoint""}"
4456,8790,LR-12548,148,Sloane Ave,Sloane Ave,West,Sweeney Dr,North,08662,16,None,WR2,Existing,L3408662,,"{""coordinates"": [[-79.3125564583799, 43.7359732202246]], ""type"": ""MultiPoint""}"
4457,8791,LR-12508,6025,Steeles Ave E,Steeles Ave E,South,Markham Rd,West,08503,23,None,WR2,Existing,L4108503,,"{""coordinates"": [[-79.2518343115117, 43.8363149122806]], ""type"": ""MultiPoint""}"
4458,8792,LR-12465,8835,Sheppard Ave E,Sheppard Ave E,South,Kingbird Grv,West,08475,25,None,WR2,Existing,L4208475,,"{""coordinates"": [[-79.1837839552353, 43.8054485438001]], ""type"": ""MultiPoint""}"
4459,8793,LR-12288,868,Lawrence Ave E,Lawrence Ave E,North,Tremont Cres,West,T2820,16,None,WR2,Temporarily Removed,L2502820,,"{""coordinates"": [[-79.3501907984356, 43.7358585645363]], ""type"": ""MultiPoint""}"
4460,8794,LR-12256,820,Markham Rd,Markham Rd,West,Painted Post Dr,North,07730,24,Cedarbrae Markham Lawrence Village,WR2,Existing,L3807730,,"{""coordinates"": [[-79.228571567377, 43.7677184868171]], ""type"": ""MultiPoint""}"
4461,8795,LR-13530,74,Rainbow Ridge Ave,Sheppard Ave E,South,Rainbow Ridge Ave,West,09917,25,None,WR1,Existing,L4409917,,"{""coordinates"": [[-79.1632405297179, 43.8073365452169]], ""type"": ""MultiPoint""}"
4462,8797,LR-14054,390,Front St E,Cherry St,West,Front St E,North,10540,13,None,WR4,Existing,L2810540,,"{""coordinates"": [[-79.3582815333396, 43.652841257948]], ""type"": ""MultiPoint""}"
4463,8798,LR-13982,5955,Steeles Ave E,Steeles Ave E,South,Markham Rd,West,10645,23,None,WR2,Existing,L4110645,,"{""coordinates"": [[-79.2580852674163, 43.8348663620967]], ""type"": ""MultiPoint""}"
4464,8799,LR-07727,3749,Bathurst St,Wilson Ave,South,Bathurst St,East,00864,06,None,WR2,Existing,L1000864,,"{""coordinates"": [[-79.4334102652672, 43.737285842192]], ""type"": ""MultiPoint""}"
4465,8800,LR-10803,3100,Ellesmere Rd,Morningside Ave,North,Ellesmere Rd,West,03502,24,None,WR2,Existing,L4303502,,"{""coordinates"": [[-79.193669694539, 43.7855360384102]], ""type"": ""MultiPoint""}"
4466,8801,LR-10451,60,Mill St,Mill St,North,Trinity St,East,05750,13,None,WR1,Existing,L2805750,,"{""coordinates"": [[-79.3594950645979, 43.650912684845]], ""type"": ""MultiPoint""}"
4467,8803,LR-06485,None,None,Sheppard Ave W,South,Don River Blvd,West,06381,06,None,WR1,Existing,L1006381,,"{""coordinates"": [[-79.4330666647061, 43.7564790983377]], ""type"": ""MultiPoint""}"
4468,8805,LR-07832,2436A,Bloor St W,Bloor St W,North,Jane St,East,03235,04,Bloor West Village,WR4,Existing,L1303235,,"{""coordinates"": [[-79.4842181160329, 43.6494701056902]], ""type"": ""MultiPoint""}"
4469,8813,LR-16574,340,Christie St,Christie St,West,Lambertlodge Ave,South,14314,12,None,WR4,Existing,L1214314,,"{""coordinates"": [[-79.4220450031671, 43.6726978592233]], ""type"": ""MultiPoint""}"
4470,8815,LR-16576,245,Queens Quay W,Queens Quay W,South,Robertson Cres,East,12929,10,The Waterfront,WR2,Existing,L2012929,,"{""coordinates"": [[-79.3853247189866, 43.6389737618292]], ""type"": ""MultiPoint""}"
4471,8816,LR-16578,4,Blue Jays Way,Blue Jays Way,North,Navy Wharf Crt,West,14316,10,Toronto Downtown West,WR4,Existing,L1014316,,"{""coordinates"": [[-79.3921355793518, 43.6416493982541]], ""type"": ""MultiPoint""}"
4472,8818,LR-19074,667,Sammon Ave,Sammon Ave,South,Woodington Ave,East,10234,19,None,WR5,Existing,L3110234,,"{""coordinates"": [[-79.3229263835477, 43.6893361666955]], ""type"": ""MultiPoint""}"
4473,8819,LR-19082,2442,Dufferin St,Dufferin St,West,Bowie Ave,North,03724,08,Fairbank Village,WR5,Existing,L1503724,,"{""coordinates"": [[-79.4513408071053, 43.6983064967155]], ""type"": ""MultiPoint""}"
4474,8820,LR-19064,833,The Queensway,The Queensway,South,Loma Rd,West,00704,03,Shop The Queensway,WR5,Existing,L0500704,,"{""coordinates"": [[-79.5089739022313, 43.6248296130185]], ""type"": ""MultiPoint""}"
4475,8821,LR-19072,3208,Danforth Ave,Danforth Ave,North,Pharmacy Ave,East,1936,20,Crossroads of the Danforth,WR5,Existing,L3501936,,"{""coordinates"": [[-79.2830908704924, 43.6924740568701]], ""type"": ""MultiPoint""}"
4476,8822,LR-19088,847,Dundas St W,Dundas St W,South,Euclid Ave,West,05211,10,Trinity-Bellwoods,WR5,Existing,L1905211,,"{""coordinates"": [[-79.4099492453408, 43.6514324447034]], ""type"": ""MultiPoint""}"
4477,8823,LR-19089,686,Queen St W,Queen St W,North,Euclid Ave,West,04361,10,West Queen West,WR5,Existing,L1904361,,"{""coordinates"": [[-79.4078831460789, 43.6464794907487]], ""type"": ""MultiPoint""}"
4478,8824,LR-19090,43,Front St W,Front St E,South,Scott St,East,00564,10,Old Town Toronto,WR5,Existing,L2800564,,"{""coordinates"": [[-79.3752432691978, 43.6476313179646]], ""type"": ""MultiPoint""}"
4479,8825,LR-19091,643,Eglinton Ave W,Eglinton Ave W,South,Chaplin Cres,East,10402,12,The Eglinton Way,WR5,Existing,L2210402,,"{""coordinates"": [[-79.4166722635029, 43.702774115319]], ""type"": ""MultiPoint""}"
4480,8826,LR-19092,275,Manse Rd,Manse Rd,East,Hainford St,South,T4462,25,None,WR5,Existing,L4404462,,"{""coordinates"": [[-79.1752696699753, 43.7683021711359]], ""type"": ""MultiPoint""}"
4481,8827,LR-19095,59,Front St E,Front St E,South,Church St,West,00565,13,Old Town Toronto,WR5,Existing,L2800565,,"{""coordinates"": [[-79.3740519370273, 43.6481908056033]], ""type"": ""MultiPoint""}"
4482,8828,LR-19096,748,The Queensway,The Queensway,North,Royal York Rd,West,11007,03,Shop The Queensway,WR5,Existing,L0511007,,"{""coordinates"": [[-79.5030279648516, 43.6263583629395]], ""type"": ""MultiPoint""}"
4483,8829,LR-19097,1601,St Clair Ave W,St Clair Ave W,South,Caledonia Rd,West,05098,09,St. Clair Gardens,WR5,Existing,L1705098,,"{""coordinates"": [[-79.4550040814314, 43.6751826670996]], ""type"": ""MultiPoint""}"
4484,8830,LR-19098,3145,Yonge St,Yonge St,East,Wanless Ave,North,04758,15,Yonge Lawrence Village,WR5,Existing,L2504758,,"{""coordinates"": [[-79.4024594417387, 43.7265399487068]], ""type"": ""MultiPoint""}"
4485,8831,LR-19101,3333,Yonge St,Yonge St,East,Snowdon Ave,South,04765,15,Yonge Lawrence Village,WR5,Existing,L2504765,,"{""coordinates"": [[-79.4037124974033, 43.7312960853767]], ""type"": ""MultiPoint""}"
4486,8832,LR-19102,50,Sheppard Ave E,Sheppard Ave E,North,Doris Ave,West,04548,18,Yonge North York,WR5,Existing,L2304548,,"{""coordinates"": [[-79.4085697079735, 43.7621955156763]], ""type"": ""MultiPoint""}"
4487,8833,LR-19103,66,Avenue Rd,Avenue Rd,West,Lowther Ave,North,08763,11,Bloor-Yorkville,WR5,Existing,L2008763,,"{""coordinates"": [[-79.3953430848131, 43.6712790572192]], ""type"": ""MultiPoint""}"
4488,8834,LR-19104,890,Dundas St W,Dundas St W,North,Claremont St,West,09069,11,Trinity-Bellwoods,WR5,Existing,L1909069,,"{""coordinates"": [[-79.4119511747218, 43.6511605788842]], ""type"": ""MultiPoint""}"
4489,8835,LR-19106,773,Yonge St,Yonge St,East,Asquith Ave,South,03414,11,Bloor-Yorkville,WR5,Existing,L2703414,,"{""coordinates"": [[-79.3871612409518, 43.6714373030921]], ""type"": ""MultiPoint""}"
4490,8836,LR-19108,74,The Esplanade,The Esplanade,North,Church St,East,05768,13,Old Town Toronto,WR5,Existing,L2805768,,"{""coordinates"": [[-79.3730270519929, 43.6474436387634]], ""type"": ""MultiPoint""}"
4491,8838,LR-18354,2055,Lawrence Ave E,Lawrence Ave E,South,Warden Ave,East,16595,21,Wexford Heights,WR5,Existing,L2116595,,"{""coordinates"": [[-79.294379300327, 43.7453407835052]], ""type"": ""MultiPoint""}"
4492,8839,LR-18361,None,None,Midland Ave,West,Ellesmere Rd,South,T16375,21,None,WR5,Existing,L2116375,,"{""coordinates"": [[-79.2711446828733, 43.7672113904052]], ""type"": ""MultiPoint""}"
4493,8840,LR-18421,70,Berkeley St,Berkeley St,West,Adelaide St E,South,16617,13,None,WR5,Existing,L1316617,,"{""coordinates"": [[-79.3647188850849, 43.6526611268973]], ""type"": ""MultiPoint""}"
4494,8842,LR-18366,976,Kipling Ave,Kipling Ave,West,Bloor St W,North,T16020,02,None,WR5,Existing,L0216020,,"{""coordinates"": [[-79.5357374508632, 43.6421748605616]], ""type"": ""MultiPoint""}"
4495,8843,LR-18368,None,None,Dundas St W,North,Kipling Ave,East,T16016,03,None,WR5,Existing,L0316016,,"{""coordinates"": [[-79.5343536392746, 43.6407399704848]], ""type"": ""MultiPoint""}"
4496,8845,LR-18358,375,University Ave,Centre Ave,West,Armoury St,North,16584,10,None,WR5,Existing,L1016584,,"{""coordinates"": [[-79.386532892675, 43.6534819035273]], ""type"": ""MultiPoint""}"
4497,8846,LR-18419,None,None,Albion Rd,North,Codlin Cres,West,16625,01,None,WR5,Existing,L0116625,,"{""coordinates"": [[-79.6329059446678, 43.7477840087741]], ""type"": ""MultiPoint""}"
4498,8849,LR-18888,92,Front St E,Front St E,North,Market St,East,00576,13,Old Town Toronto,WR5,Existing,L2800576,,"{""coordinates"": [[-79.3721162889969, 43.6492529057337]], ""type"": ""MultiPoint""}"
4499,8850,LR-18875,1756,Dundas St W,Dundas St W,North,Lansdowne Ave,West,00368,09,Little Portugal,WR5,Existing,L1800368,,"{""coordinates"": [[-79.4400992676484, 43.6502634184934]], ""type"": ""MultiPoint""}"
4500,8851,LR-18872,1533,Queen St W,Queen St W,South,Wilson Park Rd,West,T6860,04,Parkdale Village,WR5,Existing,L1406860,,"{""coordinates"": [[-79.4428469575147, 43.6392939555545]], ""type"": ""MultiPoint""}"
4501,8852,LR-18896,531,Eglinton Ave W,Eglinton Ave W,South,Warren Rd,East,06867,08,The Eglinton Way,WR5,Existing,L2206867,,"{""coordinates"": [[-79.4140328242016, 43.7033479004474]], ""type"": ""MultiPoint""}"
4502,8853,LR-18876,1427,Queen St W,Queen St W,South,Jameson Ave,East,04456,04,Parkdale Village,WR5,Existing,L1404456,,"{""coordinates"": [[-79.4369476232416, 43.6404637874777]], ""type"": ""MultiPoint""}"
4503,8854,LR-18879,1221,Dundas St W,Dundas St W,South,Grove Ave,East,02232,10,Little Portugal,WR5,Existing,L1902232,,"{""coordinates"": [[-79.4229201983479, 43.6493241493813]], ""type"": ""MultiPoint""}"
4504,8855,LR-18877,205,Roncesvalles Ave,Roncesvalles Ave,East,Wright Ave,South,07440,04,Roncesvalles Village,WR5,Existing,L1407440,,"{""coordinates"": [[-79.4485580799181, 43.6452745436115]], ""type"": ""MultiPoint""}"
4505,8856,LR-18895,40,Sheppard Ave W,Beecroft Rd,East,Sheppard Ave W,North,07358,18,Yonge North York,WR5,Existing,L2307358,,"{""coordinates"": [[-79.4131187990285, 43.7613045173948]], ""type"": ""MultiPoint""}"
4506,8857,LR-18898,3,Prescott Ave,St Clair Ave W,North,Prescott Ave,East,05091,09,St. Clair Gardens,WR5,Existing,L1705091,,"{""coordinates"": [[-79.4567755617394, 43.6750227220821]], ""type"": ""MultiPoint""}"
4507,8858,LR-18900,195,Yonge St,Yonge St,East,Shuter St,South,04887,13,Downtown Yonge,WR5,Existing,L2704887,,"{""coordinates"": [[-79.3796326967484, 43.6535234175595]], ""type"": ""MultiPoint""}"
4508,8859,LR-18897,4828,Yonge St,Yonge St,West,Harlandale Ave,South,07220,18,Yonge North York,WR5,Existing,L2307220,,"{""coordinates"": [[-79.4112807816996, 43.7621644108416]], ""type"": ""MultiPoint""}"
4509,8860,LR-18893,5650,Yonge St,Yonge St,West,Finch Ave E,North,07280,18,Yonge North York,WR5,Existing,L2307280,,"{""coordinates"": [[-79.4158441086284, 43.7800124654541]], ""type"": ""MultiPoint""}"
4510,8861,LR-18874,100,Queens Quay W,Queens Quay W,North,York St,East,05779,10,The Waterfront,WR5,Existing,L2805779,,"{""coordinates"": [[-79.3799304287558, 43.6402550332817]], ""type"": ""MultiPoint""}"
4511,8862,LR-18880,1457,Bathurst St,Bathurst St,West,St Clair Ave W,South,03984,12,Wychwood Heights,WR5,Existing,L2103984,,"{""coordinates"": [[-79.4180959816437, 43.6829567979291]], ""type"": ""MultiPoint""}"
4512,8863,LR-18882,1872,Kennedy Rd,Kennedy Rd,West,Ellesmere Rd,North,07024,21,Kennedy Road,WR5,Existing,L4007024,,"{""coordinates"": [[-79.2813215187125, 43.7661195614854]], ""type"": ""MultiPoint""}"
4513,8864,LR-18892,1092,Eglinton Ave W,Eglinton Ave W,North,Old Park Rd,West,06649,08,Upper Village,WR5,Existing,L2106649,,"{""coordinates"": [[-79.4315567450312, 43.6997936993913]], ""type"": ""MultiPoint""}"
4514,8865,LR-18899,1921,Eglinton Ave W,Eglinton Ave W,South,Kirknewton Rd,West,04853,09,Fairbank Village,WR5,Existing,L1704853,,"{""coordinates"": [[-79.4525450528599, 43.6951076212284]], ""type"": ""MultiPoint""}"
4515,8866,LR-18867,1462,Queen St W,Queen St W,North,Lansdowne Ave,East,04443,04,Parkdale Village,WR5,Existing,L1404443,,"{""coordinates"": [[-79.4362687509841, 43.6407335963427]], ""type"": ""MultiPoint""}"
4516,8867,LR-18913,600,Fleet St,Fleet St,North,Bathurst St,West,01976,10,CityPlace and Fort York,WR5,Existing,L1901976,,"{""coordinates"": [[-79.4002922493892, 43.6365872271996]], ""type"": ""MultiPoint""}"
4517,8868,LR-18919,1138,Kennedy Rd,Kennedy Rd,West,Cornwallis Dr,South,07922,21,Kennedy Road,WR5,Existing,L3707922,,"{""coordinates"": [[-79.2758722766269, 43.751685162189]], ""type"": ""MultiPoint""}"
4518,8869,LR-19775,257,Runnymede Rd,Runnymede Rd,East,Bloor St W,North,16822,04,Bloor West Village,WR5,Existing,L0416822,,"{""coordinates"": [[-79.4762608275235, 43.6513931042044]], ""type"": ""MultiPoint""}"
4519,8871,LR-19779,None,None,Glen Rd,West,Dale Ave,South,16836,11,None,WR5,Existing,L1116836,,"{""coordinates"": [[-79.3751056272762, 43.6735228590306]], ""type"": ""MultiPoint""}"
4520,8872,LR-19785,6070,None,Yonge St,West,Patricia Ave,North,16838,18,None,WR5,Existing,L1816838,,"{""coordinates"": [[-79.4184474277371, 43.7906291809541]], ""type"": ""MultiPoint""}"
4521,8881,LR-15636,None,None,Mcnicoll Ave,South,Midland Ave,West,12876,22,None,WR4,Existing,L4112876,,"{""coordinates"": [[-79.2925336116043, 43.8144217369067]], ""type"": ""MultiPoint""}"
4522,8882,LR-15638,None,None,Midland Ave,East,Artillery St,South,12877,23,None,WR4,Existing,L4112877,,"{""coordinates"": [[-79.2935773378857, 43.8179710309982]], ""type"": ""MultiPoint""}"
4523,8883,LR-15641,None,None,Midland Ave,West,Rural Ave,North,12878,22,None,WR4,Existing,L4112878,,"{""coordinates"": [[-79.2794866712812, 43.7873461958388]], ""type"": ""MultiPoint""}"
4524,8884,LR-15643,2748,Midland Ave,Midland Ave,West,Emmeline Cres,South,12880,22,None,WR4,Existing,L4112880,,"{""coordinates"": [[-79.2831560765717, 43.7960591234235]], ""type"": ""MultiPoint""}"
4525,8885,LR-15647,None,None,Rogers Rd,North,Gilbert Ave,East,13016,09,None,WR4,Existing,L1513016,,"{""coordinates"": [[-79.4592550975958, 43.6834458397253]], ""type"": ""MultiPoint""}"
4526,8886,LR-15666,None,None,Caledonia Rd,West,Bowie Ave,North,13018,08,None,WR4,Existing,L2613018,,"{""coordinates"": [[-79.4629653531121, 43.6951553715586]], ""type"": ""MultiPoint""}"
4527,8889,LR-15672,None,None,Marlee Ave,East,Glencairn Ave,South,13022,08,None,WR4,Existing,L1513022,,"{""coordinates"": [[-79.4436156652336, 43.7088173298799]], ""type"": ""MultiPoint""}"
4528,8890,LR-15673,None,None,Glencairn Ave,North,Marlee Ave,East,13023,08,None,WR4,Temporarily Removed,L1513023,,"{""coordinates"": [[-79.4435447292573, 43.7091304489971]], ""type"": ""MultiPoint""}"
4529,8891,LR-15678,365,Marlee Ave,Marlee Ave,East,Viewmount Ave,South,13026,08,None,WR4,Existing,L1513026,,"{""coordinates"": [[-79.4428985264644, 43.7070363876315]], ""type"": ""MultiPoint""}"
4530,8892,LR-15679,None,None,Dufferin St,East,Yorkdale Rd,South,13027,08,None,WR4,Existing,L1513027,,"{""coordinates"": [[-79.4573504644911, 43.7266017120348]], ""type"": ""MultiPoint""}"
4531,8897,LR-15521,115,Antibes Dr,Antibes Dr,South,Torresdale Ave,East,T9283,06,None,WR4,Existing,L1009283,,"{""coordinates"": [[-79.4470855992799, 43.7795546328476]], ""type"": ""MultiPoint""}"
4532,8898,LR-15396,2749,Dufferin St,Dufferin St,East,Stayner Ave,South,12590,08,None,WR4,Existing,L1512590,,"{""coordinates"": [[-79.452218534813, 43.7034328176707]], ""type"": ""MultiPoint""}"
4533,8899,LR-15397,2760,Dufferin St,Wingold Ave,South,Dufferin St,West,12591,08,None,WR4,Existing,L1512591,,"{""coordinates"": [[-79.4528268531084, 43.7036802003993]], ""type"": ""MultiPoint""}"
4534,8902,LR-12549,1,Wyndcliff Cres,Sweeney Dr,North,Wyndcliff Cres,East,08663,16,None,WR2,Existing,L3408663,,"{""coordinates"": [[-79.317209330163, 43.735525617942]], ""type"": ""MultiPoint""}"
4535,8904,LR-13878,798,Mount Pleasant Rd,Mount Pleasant Rd,West,Eglinton Ave E,North,10395,12,Mount Pleasant Village,WR2,Existing,L2210395,,"{""coordinates"": [[-79.3904047960812, 43.7086991617064]], ""type"": ""MultiPoint""}"
4536,8905,LR-09700,4080,Steeles Ave E,Steeles Ave E,North,Kelvin Grove Ave,East,T9354,22,None,WR2,Existing,L3909354,,"{""coordinates"": [[-79.3118111178975, 43.8227499368482]], ""type"": ""MultiPoint""}"
4537,8909,LR-07361,171,Allanhurst Dr,Royal York Rd,West,Allanhurst Dr,South,1820,02,None,WR2,Existing,L0401820,,"{""coordinates"": [[-79.5252798236836, 43.6789777518338]], ""type"": ""MultiPoint""}"
4538,8910,LR-07384,3373,Bloor St W,Bloor St W,South,Islington Ave,East,03208,03,None,WR2,Existing,L0503208,,"{""coordinates"": [[-79.5229549454322, 43.6446663192757]], ""type"": ""MultiPoint""}"
4539,8911,LR-07400,2900,Bloor St W,Bloor St W,North,Wendover Rd,East,00627,03,The Kingsway,WR2,Existing,L0500627,,"{""coordinates"": [[-79.5064399743962, 43.6485596256275]], ""type"": ""MultiPoint""}"
4540,8912,LR-11354,61,Canmore Blvd,Canmore Blvd,South,Halfmoon Sq,West,T11381,25,None,WR2,Existing,L4411381,,"{""coordinates"": [[-79.1797544035922, 43.7936242997091]], ""type"": ""MultiPoint""}"
4541,8913,LR-11363,1095,Neilson Rd,Neilson Rd,East,Sewell's Rd,South,03346,25,None,WR2,Existing,L4203346,,"{""coordinates"": [[-79.2183130047361, 43.8063982262016]], ""type"": ""MultiPoint""}"
4542,8914,LR-16583,2,Avon Ave,Avon Ave,West,Humber Blvd,South,14356,05,None,WR4,Existing,None,,"{""coordinates"": [[-79.4801017539174, 43.6822072894115]], ""type"": ""MultiPoint""}"
4543,8920,LR-16594,129,St Clair Ave W,St Clair Ave W,South,Foxbar Rd,East,14366,12,Yonge & St. Clair,WR4,Existing,L2214366,,"{""coordinates"": [[-79.4004445535194, 43.6866895453826]], ""type"": ""MultiPoint""}"
4544,8923,LR-16604,None,None,Front St W,North,John St,West,14377,10,Toronto Downtown West,WR4,Existing,L1014377,,"{""coordinates"": [[-79.3890997388544, 43.6439705578108]], ""type"": ""MultiPoint""}"
4545,8924,LR-16607,2E,Spadina Ave,Spadina Ave,West,Bremner Blvd,South,14392,10,CityPlace and Fort York,WR4,Existing,L1014392,,"{""coordinates"": [[-79.3929714509384, 43.6398093485315]], ""type"": ""MultiPoint""}"
4546,8925,LR-16608,11,Spadina Ave,Spadina Ave,West,Fort York Blvd,South,14393,10,CityPlace and Fort York,WR4,Existing,L1014393,,"{""coordinates"": [[-79.3927512027848, 43.6391892442332]], ""type"": ""MultiPoint""}"
4547,8926,LR-16609,355,Strathmore Blvd,Strathmore Blvd,South,Coxwell Ave,East,14426,19,None,WR4,Existing,L3114426,,"{""coordinates"": [[-79.3231521906611, 43.6842504657586]], ""type"": ""MultiPoint""}"
4548,8929,LR-16614,185,Cherry St,Cherry St,East,Polson St,South,14405,14,None,WR4,Temporarily Removed,L1414405,,"{""coordinates"": [[-79.3502420446068, 43.6427971522219]], ""type"": ""MultiPoint""}"
4549,8930,LR-16617,1055,Bay St,Bay St,East,Irwin Ave,North,14413,13,None,WR4,Existing,L1314413,,"{""coordinates"": [[-79.3880504089811, 43.6667069607885]], ""type"": ""MultiPoint""}"
4550,8932,LR-16623,641,Pharmacy Ave,Pharmacy Ave,East,Eastgate Cres,South,14421,20,None,WR4,Existing,L3514421,,"{""coordinates"": [[-79.2912735596134, 43.7109312524316]], ""type"": ""MultiPoint""}"
4551,8935,LR-14580,22,Blackfriar Ave,Blackfriar Ave,West,Dixon Rd,North,11410,01,None,WR1,Existing,L0211410,,"{""coordinates"": [[-79.5616025617745, 43.6945737837433]], ""type"": ""MultiPoint""}"
4552,8936,LR-14615,2108,Lawrence Ave W,Lawrence Ave W,North,Little Ave,East,11403,05,Weston Village,WR4,Existing,L1111403,,"{""coordinates"": [[-79.5194033704329, 43.6994708186091]], ""type"": ""MultiPoint""}"
4553,8937,LR-14622,636-646,Danforth Rd,St Clair Ave E,South,Danforth Rd,West,T4623,20,None,WR4,Existing,L3504623,,"{""coordinates"": [[-79.2602302185661, 43.7166667098549]], ""type"": ""MultiPoint""}"
4554,8939,LR-14107,613,Evans Ave,Evans Ave,South,Brown's Line,West,10908,03,None,WR4,Existing,L0610908,,"{""coordinates"": [[-79.5494261642154, 43.6104461574627]], ""type"": ""MultiPoint""}"
4555,8940,LR-14111,133,Queen St E,Queen St E,South,Jarvis St,West,10891,13,Historic Queen East,WR2,Existing,L2810891,,"{""coordinates"": [[-79.3736512230148, 43.6535532743668]], ""type"": ""MultiPoint""}"
4556,8941,LR-14133,None,Kipling Ave,Kipling Ave,East,Burnhamthorpe Rd,South,10961,03,None,WR4,Existing,L0510961,,"{""coordinates"": [[-79.5390184217684, 43.6506221022762]], ""type"": ""MultiPoint""}"
4557,8942,LR-14153,95,La Rose Ave,La Rose Ave,South,Timothy Crt,East,T12172,02,None,WR1,Existing,L0412172,,"{""coordinates"": [[-79.5196165109163, 43.6858274301953]], ""type"": ""MultiPoint""}"
4558,8943,LR-12504,143,Old Yonge St,York Mills Rd,North,Old Yonge St,East,08652,15,None,WR2,Existing,L2508652,,"{""coordinates"": [[-79.399207303288, 43.7449655346282]], ""type"": ""MultiPoint""}"
4559,8944,LR-13120,179,Bathurst St,Bathurst St,East,Queen St W,North,09392,10,Queen Street West,WR4,Existing,L2009392,,"{""coordinates"": [[-79.4039428916523, 43.6473933339382]], ""type"": ""MultiPoint""}"
4560,8945,LR-13131,170,St Patrick St,Dundas St W,North,St Patrick St,West,09426,11,None,WR3,Temporarily Removed,L2009426,,"{""coordinates"": [[-79.3905350808153, 43.6545715763922]], ""type"": ""MultiPoint""}"
4561,8946,LR-18372,20,Bermondsey Rd,Bermondsey Rd,East,Northline Rd,North,T15822,19,None,WR5,Existing,L1915822,,"{""coordinates"": [[-79.3124128850729, 43.7151876718816]], ""type"": ""MultiPoint""}"
4562,8951,LR-18037,820,Mount Pleasant Rd,Mount Pleasant Rd,West,Roehampton Ave,South,16260,12,None,WR4,Existing,L1216260,,"{""coordinates"": [[-79.3905344028252, 43.7091427243654]], ""type"": ""MultiPoint""}"
4563,8952,LR-18038,817,Mount Pleasant Rd,Mount Pleasant Rd,East,Roehampton Ave,South,16261,15,None,WR4,Existing,L1516261,,"{""coordinates"": [[-79.3904430984107, 43.7094365102689]], ""type"": ""MultiPoint""}"
4564,8953,LR-18122,154,Ossington Ave,Ossington Ave,West,Foxley St,South,16291,10,Ossington Avenue,WR4,Existing,L1016291,,"{""coordinates"": [[-79.4201797383657, 43.647669366274]], ""type"": ""MultiPoint""}"
4565,8954,LR-18121,71,Ossington Ave,Ossington Ave,East,Bruce St,North,16290,10,Ossington Avenue,WR4,Existing,L1016290,,"{""coordinates"": [[-79.4193485988008, 43.6458169227577]], ""type"": ""MultiPoint""}"
4566,8955,LR-18118,17,Eaton Ave,Eaton Ave,East,Danforth Ave,North,16287,14,None,WR4,Existing,L1416287,,"{""coordinates"": [[-79.3432683906467, 43.6800396066354]], ""type"": ""MultiPoint""}"
4567,8956,LR-18126,215,Avenue Rd,Avenue Rd,East,Roxborough Dr,South,16294,11,None,WR4,Temporarily Removed,L1116294,,"{""coordinates"": [[-79.3970156609158, 43.6761239725679]], ""type"": ""MultiPoint""}"
4568,8957,LR-18124,None,None,Broadview Ave,West,Riverdale Ave,North,16293,14,None,WR4,Existing,L1416293,,"{""coordinates"": [[-79.3530999463779, 43.6692676495997]], ""type"": ""MultiPoint""}"
4569,8958,LR-18125,161,Roxborough Dr,Roxborough Dr,South,Avenue Rd,East,16295,11,None,WR4,Existing,L1116295,,"{""coordinates"": [[-79.3966145738843, 43.6767589956537]], ""type"": ""MultiPoint""}"
4570,8959,LR-18130,None,Village Green Sq,Village Green Sq,West,Village Green Sq,North,16299,22,None,WR4,Existing,L2216299,,"{""coordinates"": [[-79.281884306128, 43.7788426859559]], ""type"": ""MultiPoint""}"
4571,8960,LR-18127,None,Carlton St,Carlton St,South,Homewood Ave,West,16297,13,None,WR4,Existing,L1316297,,"{""coordinates"": [[-79.3752181601293, 43.6626569066403]], ""type"": ""MultiPoint""}"
4572,8961,LR-18120,53,Ossington Ave,Ossington Ave,East,Bruce St,South,16289,10,Ossington Avenue,WR4,Existing,L1016289,,"{""coordinates"": [[-79.4192102439206, 43.6454247794638]], ""type"": ""MultiPoint""}"
4573,8962,LR-18129,None,Village Green Sq,Village Green Sq,North,Kennedy Rd,East,16300,22,None,WR4,Existing,L2216300,,"{""coordinates"": [[-79.2819083423989, 43.7781460873655]], ""type"": ""MultiPoint""}"
4574,8963,LR-18315,None,East Liberty St,East Liberty St,North,Hanna Ave,East,16543,10,Liberty Village,WR5,Existing,L1016543,,"{""coordinates"": [[-79.4192038869287, 43.6386345524323]], ""type"": ""MultiPoint""}"
4575,8964,LR-18311,None,Strachan Ave,Strachan Ave,West,East Liberty St,South,16542,10,None,WR4,Existing,L1016542,,"{""coordinates"": [[-79.4108166481172, 43.6390312096335]], ""type"": ""MultiPoint""}"
4576,8968,LR-18317,None,McMurrich St,McMurrich St,East,Davenport Rd,North,16544,11,None,WR5,Existing,L1116544,,"{""coordinates"": [[-79.3897421488097, 43.673801877397]], ""type"": ""MultiPoint""}"
4577,8969,LR-18312,None,Strachan Ave,Strachan Ave,East,East Liberty St,South,16541,10,None,WR4,Existing,None,,"{""coordinates"": [[-79.4106175369845, 43.6390633420712]], ""type"": ""MultiPoint""}"
